movie_title,director_name,genres,actor_1_name,actor_2_name,actor_3_name
hotel rwanda ,Terry George,Drama History War,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim
hitman ,Xavier Gens,Action Crime Drama Thriller,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen
black nativity ,Kasi Lemmons,Drama Family Music Musical,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall
the prince ,Brian A Miller,Action Thriller,Bruce Willis,50 Cent,Jessica Lowndes
city of ghosts ,Matt Dillon,Crime Drama Thriller,Kirk Fox,Shawn Andrews,Rob Campbell
the others ,Alejandro Amenábar,Fantasy Horror Thriller,Fionnula Flanagan,Elaine Cassidy,Eric Sykes
aliens ,James Cameron,Action Adventure Sci-Fi,Michael Biehn,Carrie Henn,Jenette Goldstein
my fair lady ,George Cukor,Drama Family Musical Romance,Jeremy Brett,Rex Harrison,Theodore Bikel
i know what you did last summer ,Jim Gillespie,Horror Mystery Thriller,Muse Watson,Sarah Michelle Gellar,Anne Heche
let's be cops ,Luke Greenfield,Comedy,Rob Riggle,Damon Wayans Jr.,James D'Arcy
sideways ,Alexander Payne,Adventure Comedy Drama Romance,Virginia Madsen,Patrick Gallagher,M.C. Gainey
beerfest ,Jay Chandrasekhar,Comedy,Chris Moss,Owain Yeoman,Jay Chandrasekhar
halloween ,John Carpenter,Horror Thriller,Jamie Lee Curtis,Donald Pleasence,P.J. Soles
hero ,Yimou Zhang,Action Adventure History,Jet Li,Tony Chiu Wai Leung,Maggie Cheung
good boy! ,John Hoffman,Comedy Drama Family Fantasy Sci-Fi,Liam Aiken,Molly Shannon,Kevin Nealon
the best man holiday ,Malcolm D. Lee,Comedy Drama,Harold Perrineau,Sanaa Lathan,Eddie Cibrian
smokin' aces ,Joe Carnahan,Action Crime Drama Thriller,Ryan Reynolds,Common,Alex Rocco
saw 3d: the final chapter ,Kevin Greutert,Horror Mystery,Costas Mandylor,Gina Holden,Betsy Russell
40 days and 40 nights ,Michael Lehmann,Comedy Romance,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo
tron: legacy ,Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain
a night at the roxbury ,John Fortenberry,Comedy Music Romance,Will Ferrell,Chris Kattan,Dan Hedaya
beastly ,Daniel Barnz,Drama Fantasy Romance,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen
the hills have eyes ,Alexandre Aja,Horror,Dan Byrd,Greg Nicotero,Vinessa Shaw
dickie roberts: former child star ,Sam Weisman,Comedy,Kevin Grevioux,Jenna Boyd,Mary McCormack
"mcfarland, usa ",Niki Caro,Biography Drama Sport,Morgan Saylor,Valente Rodriguez,Diana Maria Riva
lottery ticket ,Erik White,Comedy,Brandon T. Jackson,Loretta Devine,Shad Moss
atl ,Chris Robinson,Comedy Crime Drama Music Romance,T.I.,Adam Boyer,Malika
pitch perfect ,Jason Moore,Comedy Music Romance,Anna Kendrick,Hana Mae Lee,Ben Platt
summer catch ,Michael Tollin,Comedy Drama Romance Sport,Marc Blucas,Brian Dennehy,Bruce Davison
a simple plan ,Sam Raimi,Crime Drama Thriller,Gary Cole,Bridget Fonda,Chelcie Ross
they ,Robert Harmon,Horror Mystery Thriller,Alexander Gould,Ethan Embry,Marc Blucas
larry the cable guy: health inspector ,Trent Cooper,Comedy Romance,Thomas F. Wilson,Larry the Cable Guy,Megyn Price
the adventures of elmo in grouchland ,Gary Halvorson,Adventure Comedy Family Fantasy Musical,Vanessa Williams,Kevin Clash,Caroll Spinney
brooklyn's finest ,Antoine Fuqua,Crime Drama Thriller,Don Cheadle,Lili Taylor,Armando Riesco
55 days at peking ,Nicholas Ray,Action Adventure Drama History War,Ava Gardner,David Niven,John Ireland
evil dead ,Fede Alvarez,Horror,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss
my life in ruins ,Donald Petrie,Comedy Romance,Nia Vardalos,Harland Williams,Rachel Dratch
american dreamz ,Paul Weitz,Comedy Music,Judy Greer,Dennis Quaid,Chris Klein
superman iv: the quest for peace ,Sidney J. Furie,Action Adventure Family Sci-Fi,Jim Broadbent,Margot Kidder,William Hootkins
how she move ,Ian Iqbal Rashid,Drama,DeRay Davis,Clé Bennett,Conrad Coates
running scared ,Wayne Kramer,Action Crime Drama Thriller,Paul Walker,Chazz Palminteri,Ivana Milicevic
bobby jones: stroke of genius ,Rowdy Herrington,Biography Drama Romance Sport,Aidan Quinn,Jeremy Northam,Paul Freeman
shanghai surprise ,Jim Goddard,Adventure Crime Drama Romance,Victor Wong,Paul Freeman,Clyde Kusatsu
the illusionist ,Neil Burger,Drama Mystery Romance Thriller,Rufus Sewell,Eddie Marsan,Jake Wood
roar ,Noel Marshall,Adventure Horror Thriller,Tippi Hedren,Melanie Griffith,Zakes Mokae
veronica guerin ,Joel Schumacher,Biography Crime Drama Thriller,Brenda Fricker,David Murray,Gerard McSorley
escobar: paradise lost ,Andrea Di Stefano,Crime Drama Romance Thriller,Josh Hutcherson,Brady Corbet,Carlos Bardem
southland tales ,Richard Kelly,Comedy Mystery Sci-Fi Thriller,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla
dragon hunters ,Guillaume Ivernel,Adventure Animation Family Fantasy,Rob Paulsen,Jess Harnell,Mary Mouser
damnation alley ,Jack Smight,Sci-Fi,George Peppard,Jan-Michael Vincent,Paul Winfield
the apparition ,Todd Lincoln,Horror Thriller,Julianna Guill,Rick Gomez,Tim Williams
my girl ,Howard Zieff,Comedy Drama Family Romance,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne
fur: an imaginary portrait of diane arbus ,Steven Shainberg,Biography Drama Romance,Robert Downey Jr.,Ty Burrell,Matt Servitto
the illusionist ,Neil Burger,Drama Mystery Romance Thriller,Rufus Sewell,Eddie Marsan,Jake Wood
wall street ,Oliver Stone,Crime Drama,Hal Holbrook,Tamara Tunie,James Karen
sense and sensibility ,Ang Lee,Drama Romance,Alan Rickman,Kate Winslet,Tom Wilkinson
becoming jane ,Julian Jarrold,Biography Drama Romance,Anne Hathaway,Julie Walters,Laurence Fox
sydney white ,Joe Nussbaum,Comedy Romance,Danny Strong,Matt Long,Samm Levine
house of sand and fog ,Vadim Perelman,Drama,Frances Fisher,Kim Dickens,Ron Eldard
dead poets society ,Peter Weir,Comedy Drama,Robin Williams,Josh Charles,Kurtwood Smith
dumb & dumber ,Peter Farrelly,Comedy,Lauren Holly,Mike Starr,Teri Garr
when harry met sally... ,Rob Reiner,Comedy Drama Romance,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak
the verdict ,Sidney Lumet,Drama,Charlotte Rampling,James Mason,Jack Warden
road trip ,Todd Phillips,Comedy,Ethan Suplee,Rachel Blanchard,Paulo Costanzo
varsity blues ,Brian Robbins,Comedy Drama Romance Sport,Paul Walker,Ron Lester,Mark Walters
the artist ,Michel Hazanavicius,Comedy Drama Romance,Bérénice Bejo,Ed Lauter,Beth Grant
the unborn ,David S. Goyer,Drama Fantasy Horror Mystery Thriller,Gary Oldman,Atticus Shaffer,Rachel Brosnahan
moonrise kingdom ,Wes Anderson,Adventure Comedy Drama Romance,Bruce Willis,Bill Murray,Bob Balaban
the texas chainsaw massacre: the beginning ,Jonathan Liebesman,Horror,Matt Bomer,Jordana Brewster,Lew Temple
the young messiah ,Cyrus Nowrasteh,Drama,Clive Russell,Vincent Walsh,Finn Ireland
the master of disguise ,Perry Andelin Blake,Comedy Family,Jennifer Esposito,Kenan Thompson,James Brolin
pan's labyrinth ,Guillermo del Toro,Drama Fantasy War,Ivana Baquero,Maribel Verdú,Sergi López
see spot run ,John Whitesell,Action Comedy Crime Family,Leslie Bibb,Angus T. Jones,Paul Sorvino
baby boy ,John Singleton,Crime Drama Romance Thriller,Mo'Nique,Snoop Dogg,Angell Conwell
the roommate ,Christian E. Christiansen,Drama Horror Thriller,Leighton Meester,Danneel Ackles,Frances Fisher
joe dirt ,Dennie Gordon,Adventure Comedy Drama,Brittany Daniel,Erik Per Sullivan,Fred Ward
double impact ,Sheldon Lettich,Action Crime,Bolo Yeung,Alonna Shaw,Kamel Krifa
hot fuzz ,Edgar Wright,Action Comedy Mystery,Bill Bailey,Joe Cornish,Billie Whitelaw
the women ,Diane English,Comedy Drama,Jada Pinkett Smith,Debi Mazar,Debra Messing
vicky cristina barcelona ,Woody Allen,Drama Romance,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch
arn: the knight templar ,Peter Flinth,Action Adventure Drama Romance War,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez
bad moms ,Jon Lucas,Comedy,Mila Kunis,Jay Hernandez,Jada Pinkett Smith
boys and girls ,Robert Iscove,Comedy Drama Romance,Alyson Hannigan,Amanda Detmer,Tsianina Joelson
white oleander ,Peter Kosminsky,Drama,Patrick Fugit,Cole Hauser,Marc Donato
jennifer's body ,Karyn Kusama,Comedy Fantasy Horror,J.K. Simmons,Amy Sedaris,Cynthia Stevenson
drowning mona ,Nick Gomez,Comedy Crime Mystery,Will Ferrell,Jamie Lee Curtis,Tracey Walter
radio days ,Woody Allen,Comedy,Mike Starr,Don Pardo,Julie Kavner
left behind ,Vic Armstrong,Action Drama Fantasy Mystery Thriller,Nicolas Cage,Lea Thompson,Quinton Aaron
remember me ,Allen Coulter,Drama Romance,Robert Pattinson,Lena Olin,Ruby Jerins
how to deal ,Clare Kilner,Comedy Drama Romance,Dylan Baker,Alexandra Holden,Trent Ford
my stepmother is an alien ,Richard Benjamin,Comedy Romance Sci-Fi,Jon Lovitz,Alyson Hannigan,Tony Jay
philadelphia ,Jonathan Demme,Drama,Denzel Washington,Tom Hanks,Jason Robards
the thirteenth floor ,Josef Rusnak,Mystery Sci-Fi Thriller,Gretchen Mol,Craig Bierko,Brad William Henke
the cookout ,Lance Rivera,Comedy,Farrah Fawcett,Vincent Pastore,Jenifer Lewis
meteor ,Ronald Neame,Action Drama Sci-Fi Thriller,Martin Landau,Karl Malden,Brian Keith
duets ,Bruce Paltrow,Comedy Drama Music,Lochlyn Munro,Marian Seldes,Huey Lewis
hollywood ending ,Woody Allen,Comedy Romance,Woody Allen,Debra Messing,Treat Williams
detroit rock city ,Adam Rifkin,Comedy Music,Natasha Lyonne,Lin Shaye,Shannon Tweed
highlander ,Russell Mulcahy,Action Adventure Fantasy,Christopher Lambert,Jon Polito,Celia Imrie
things we lost in the fire ,Susanne Bier,Drama,Alison Lohman,Omar Benson Miller,Robin Weigert
steel ,Kenneth Johnson,Action Crime Sci-Fi,Charles Napier,Annabeth Gish,Hill Harper
the immigrant ,James Gray,Drama Romance,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan
the white countess ,James Ivory,Drama History Romance War,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave
trance ,Danny Boyle,Crime Drama Mystery Thriller,Rosario Dawson,Spencer Wilding,Tuppence Middleton
soul plane ,Jessy Terrero,Comedy,Mo'Nique,Snoop Dogg,Tom Arnold
welcome to the sticks ,Dany Boon,Comedy Romance,Dany Boon,Kad Merad,Michel Galabru
good ,Vicente Amorim,Drama Romance War,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh
enter the void ,Gaspar Noé,Drama Fantasy,Paz de la Huerta,Emily Alyn Lind,Olly Alexander
vamps ,Amy Heckerling,Comedy Horror Romance,Taylor Negron,Justin Kirk,Ivan Sergei
hachi: a dog's tale ,Lasse Hallström,Drama Family,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen
zulu ,Jérôme Salle,Crime Drama Thriller,Orlando Bloom,Tanya van Graan,Conrad Kemp
the homesman ,Tommy Lee Jones,Drama Western,Barry Corbin,Tim Blake Nelson,Miranda Otto
juwanna mann ,Jesse Vaughan,Comedy Drama Romance Sport,Vivica A. Fox,Jenifer Lewis,Kevin Pollak
ararat ,Atom Egoyan,Drama War,David Alpay,Marie-Josée Croze,Charles Aznavour
madison ,William Bindley,Drama Sport,Bruce Dern,Jake Lloyd,William Shockley
slow burn ,Wayne Beach,Drama Mystery Thriller,Mekhi Phifer,LL Cool J,Fisher Stevens
wasabi ,Gérard Krawczyk,Action Comedy Crime Drama Thriller,Carole Bouquet,Ryôko Hirosue,Michel Muller
slither ,James Gunn,Comedy Horror Sci-Fi,Dustin Milligan,Gregg Henry,Tania Saulnier
beverly hills cop ,Martin Brest,Action Comedy Crime,Judge Reinhold,Ronny Cox,James Russo
home alone ,Chris Columbus,Comedy Family,Macaulay Culkin,Devin Ratray,Catherine O'Hara
3 men and a baby ,Leonard Nimoy,Comedy Drama Family,Tom Selleck,Ted Danson,Steve Guttenberg
tootsie ,Sydney Pollack,Comedy Drama Romance,Bill Murray,Sydney Pollack,Teri Garr
top gun ,Tony Scott,Action Drama Romance,Tom Cruise,Tom Skerritt,Adrian Pasdar
"crouching tiger, hidden dragon ",Ang Lee,Action Drama Romance,Chen Chang,Pei-Pei Cheng,Sihung Lung
american beauty ,Sam Mendes,Drama,Kevin Spacey,Peter Gallagher,Ara Celi
the king's speech ,Tom Hooper,Biography Drama History Romance,Colin Firth,Jennifer Ehle,Derek Jacobi
twins ,Ivan Reitman,Comedy Crime,Kelly Preston,Tony Jay,Hugh O'Brian
the yellow handkerchief ,Udayan Prasad,Drama Romance,Kristen Stewart,Eddie Redmayne,William Hurt
the color purple ,Steven Spielberg,Drama,Oprah Winfrey,Rae Dawn Chong,Dana Ivey
tidal wave ,JK Youn,Action Comedy Drama Thriller,Nicole Dionne,Ji-won Ha,Kyung-gu Sol
ben-hur ,Timur Bekmambetov,Adventure Drama History,Morgan Freeman,Ayelet Zurer,Moises Arias
the imitation game ,Morten Tyldum,Biography Drama Thriller War,Benedict Cumberbatch,Rory Kinnear,Allen Leech
private benjamin ,Howard Zieff,Comedy War,Eileen Brennan,Albert Brooks,Alan Oppenheimer
coal miner's daughter ,Michael Apted,Biography Drama Music Musical,Sissy Spacek,Beverly D'Angelo,Levon Helm
diary of a wimpy kid ,Thor Freudenthal,Comedy Family,Chloë Grace Moretz,Zachary Gordon,Rachael Harris
mama ,Andrés Muschietti,Fantasy Horror,Javier Botet,Megan Charpentier,Isabelle Nélisse
halloween ,John Carpenter,Horror Thriller,Jamie Lee Curtis,Donald Pleasence,P.J. Soles
national lampoon's vacation ,Harold Ramis,Adventure Comedy,Beverly D'Angelo,Randy Quaid,Jane Krakowski
bad grandpa ,Jeff Tremaine,Comedy,Jackson Nicoll,Georgina Cates,Grasie Mercedes
the queen ,Stephen Frears,Biography Drama,Roger Allam,Sylvia Syms,Alex Jennings
beetlejuice ,Tim Burton,Comedy Fantasy,Catherine O'Hara,Jeffrey Jones,Glenn Shadix
why did i get married? ,Tyler Perry,Comedy Drama,Michael Jai White,Tasha Smith,Lamman Rucker
little women ,Gillian Armstrong,Drama Family Romance,Christian Bale,Kirsten Dunst,Eric Stoltz
the woman in black ,James Watkins,Drama Fantasy Horror Thriller,Daniel Radcliffe,Roger Allam,Jessica Raine
when a stranger calls ,Simon West,Horror Thriller,Madeline Carroll,Tessa Thompson,Brian Geraghty
big fat liar ,Shawn Levy,Adventure Comedy Family,Frankie Muniz,Donald Faison,Lee Majors
the deer hunter ,Michael Cimino,Drama War,Robert De Niro,Meryl Streep,John Savage
wag the dog ,Barry Levinson,Comedy Drama,Robert De Niro,Kirsten Dunst,John Michael Higgins
the lizzie mcguire movie ,Jim Fall,Adventure Comedy Family Music Romance,Clayton Snyder,Adam Lamberg,Alex Borstein
snitch ,Ric Roman Waugh,Action Drama Thriller,Dwayne Johnson,Harold Perrineau,Nadine Velazquez
krampus ,Michael Dougherty,Comedy Fantasy Horror,Adam Scott,Conchata Ferrell,Allison Tolman
the faculty ,Robert Rodriguez,Horror Mystery Sci-Fi,Jordana Brewster,Salma Hayek,Clea DuVall
what's love got to do with it ,Brian Gibson,Biography Drama Music,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton
cop land ,James Mangold,Crime Drama Thriller,Robert De Niro,Sylvester Stallone,Janeane Garofalo
not another teen movie ,Joel Gallen,Comedy,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner
end of watch ,David Ayer,Crime Drama Thriller,Jake Gyllenhaal,Anna Kendrick,America Ferrera
aloha ,Cameron Crowe,Comedy Drama Romance,Emma Stone,Bradley Cooper,Bill Murray
the skulls ,Rob Cohen,Action Crime Drama Thriller,Paul Walker,Leslie Bibb,William Petersen
the theory of everything ,James Marsh,Biography Drama Romance,Eddie Redmayne,Emily Watson,Simon McBurney
malibu's most wanted ,John Whitesell,Comedy Crime,Greg Grunberg,Regina Hall,Blair Underwood
where the heart is ,Matt Williams,Comedy Drama Romance,Natalie Portman,James Frain,Stockard Channing
lawrence of arabia ,David Lean,Adventure Biography Drama History War,Claude Rains,José Ferrer,Jack Hawkins
halloween ii ,Rob Zombie,Horror,Scout Taylor-Compton,Tyler Mane,Margot Kidder
wild ,Jean-Marc Vallée,Adventure Biography Drama,Michiel Huisman,Kevin Rankin,Gaby Hoffmann
the last house on the left ,Dennis Iliadis,Crime Horror Thriller,Tony Goldwyn,Monica Potter,Martha MacIsaac
the wedding date ,Clare Kilner,Comedy Romance,Jack Davenport,Debra Messing,Holland Taylor
halloween: resurrection ,Rick Rosenthal,Comedy Horror Thriller,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich
clash of the titans ,Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos
the princess bride ,Rob Reiner,Adventure Family Fantasy Romance,Robin Wright,Carol Kane,André the Giant
the great debaters ,Denzel Washington,Biography Drama,Denzel Washington,Jurnee Smollett-Bell,John Heard
drive ,Nicolas Winding Refn,Crime Drama,Ryan Gosling,Albert Brooks,Russ Tamblyn
confessions of a teenage drama queen ,Sara Sugarman,Comedy Family Music Romance,Adam Garcia,Carol Kane,Glenne Headly
the object of my affection ,Nicholas Hytner,Comedy Drama Romance,Liam Aiken,Tim Daly,Kali Rocha
28 weeks later ,Juan Carlos Fresnadillo,Drama Horror Sci-Fi,Jeremy Renner,Harold Perrineau,Catherine McCormack
when the game stands tall ,Thomas Carter,Drama Family Sport,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain
because of winn-dixie ,Wayne Wang,Comedy Drama Family,Cicely Tyson,Luke Benward,Eva Marie Saint
love & basketball ,Gina Prince-Bythewood,Drama Romance Sport,Alfre Woodard,Sanaa Lathan,Omar Epps
grosse pointe blank ,George Armitage,Action Comedy Crime Romance Thriller,Minnie Driver,Michael Cudlitz,Mitchell Ryan
all about steve ,Phil Traill,Comedy Romance,Bradley Cooper,Katy Mixon,Beth Grant
book of shadows: blair witch 2 ,Joe Berlinger,Adventure Fantasy Horror Mystery Thriller,Kim Director,Erica Leerhsen,Kurt Loder
the craft ,Andrew Fleming,Drama Fantasy Horror Thriller,Christine Taylor,Rachel True,Brenda Strong
match point ,Woody Allen,Drama Romance Thriller,Scarlett Johansson,Mark Gatiss,Penelope Wilton
ramona and beezus ,Elizabeth Allen Rosenbaum,Adventure Comedy Family Fantasy,Sierra McCormick,Hutch Dano,Jason Spevack
the remains of the day ,James Ivory,Drama Romance,Anthony Hopkins,Peter Vaughan,Ben Chaplin
boogie nights ,Paul Thomas Anderson,Drama,Don Cheadle,Nicole Ari Parker,Nina Hartley
nowhere to run ,Robert Harmon,Action Crime Drama Romance Thriller,Kieran Culkin,Rosanna Arquette,Joss Ackland
flicka ,Michael Mayer,Adventure Drama Family,Alison Lohman,Danny Pino,Tim McGraw
the hills have eyes ii ,Martin Weisz,Horror,Jeff Kober,Daniella Alonso,Jacob Vargas
urban legends: final cut ,John Ottman,Horror Mystery Thriller,Loretta Devine,Joey Lawrence,Jacinda Barrett
tuck everlasting ,Jay Russell,Drama Family Fantasy Romance,William Hurt,Sissy Spacek,Jonathan Jackson
the marine ,John Bonito,Action Drama Thriller,Kelly Carlson,Firass Dirani,Drew Powell
keanu ,Peter Atencio,Action Comedy,Nia Long,Will Forte,Keegan-Michael Key
country strong ,Shana Feste,Drama Music,Leighton Meester,Cinda McCain,Tim McGraw
disturbing behavior ,David Nutter,Horror Mystery Sci-Fi Thriller,Bruce Greenwood,Ethan Embry,Katharine Isabelle
the place beyond the pines ,Derek Cianfrance,Crime Drama Thriller,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza
the november man ,Roger Donaldson,Action Crime Thriller,Luke Bracey,Akie Kotabe,Will Patton
eye of the beholder ,Stephan Elliott,Drama Mystery Thriller,Jason Priestley,Patrick Bergin,Geneviève Bujold
the hurt locker ,Kathryn Bigelow,Drama History Thriller War,Jeremy Renner,Christian Camargo,Brian Geraghty
firestarter ,Mark L. Lester,Action Horror Sci-Fi Thriller,Heather Locklear,George C. Scott,David Keith
killing them softly ,Andrew Dominik,Crime Thriller,Brad Pitt,Sam Shepard,Ben Mendelsohn
a most wanted man ,Anton Corbijn,Crime Drama Thriller,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi
freddy got fingered ,Tom Green,Comedy,Rip Torn,Harland Williams,Eddie Kaye Thomas
the pirates who don't do anything: a veggietales movie ,Mike Nawrocki,Adventure Animation Comedy Family,Yuri Lowenthal,Cam Clarke,Phil Vischer
u2 3d ,Catherine Owens,Documentary Music,Bono,The Edge,Larry Mullen Jr.
highlander: endgame ,Douglas Aarniokoski,Action Adventure Fantasy Sci-Fi,Christopher Lambert,Adrian Paul,Adam Copeland
idlewild ,Bryan Barber,Crime Drama Musical Romance,Cicely Tyson,Faizon Love,Bobb'e J. Thompson
one day ,Lone Scherfig,Drama Romance,Anne Hathaway,Jim Sturgess,Rafe Spall
whip it ,Drew Barrymore,Drama Sport,Daniel Stern,Jimmy Fallon,Alia Shawkat
knockaround guys ,Brian Koppelman,Crime Drama Thriller,Vin Diesel,Tom Noonan,Kevin Gage
confidence ,James Foley,Crime Thriller,Louis Lombardi,Brian Van Holt,Leland Orser
the muse ,Albert Brooks,Comedy,Jeff Bridges,Bradley Whitford,Albert Brooks
de-lovely ,Irwin Winkler,Biography Drama Music Musical,Kevin McNally,Keith Allen,Sandra Nelson
new york stories ,Woody Allen,Comedy Drama Romance,Woody Allen,Larry David,Mia Farrow
barney's great adventure ,Steve Gomer,Adventure Family,Trevor Morgan,Kyla Pratt,Shirley Douglas
the man with the iron fists ,RZA,Action,Rick Yune,RZA,Daniel Wu
home fries ,Dean Parisot,Comedy Drama Romance,Catherine O'Hara,Jake Busey,Shelley Duvall
here on earth ,Mark Piznarski,Drama Romance,Bruce Greenwood,Chris Klein,Elaine Hendrix
brazil ,Terry Gilliam,Drama Sci-Fi,Robert De Niro,Bob Hoskins,Jim Broadbent
raise your voice ,Sean McNamara,Family Music Romance,Oliver James,Rebecca De Mornay,Jason Ritter
the big lebowski ,Joel Coen,Comedy Crime,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi
black snake moan ,Craig Brewer,Drama Music,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson
dark blue ,Ron Shelton,Crime Drama Romance Thriller,Khandi Alexander,Dash Mihok,Michael Michele
a mighty heart ,Michael Winterbottom,Biography Drama History Thriller War,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman
whatever it takes ,David Raynr,Comedy Drama Romance,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff
boat trip ,Mort Nathan,Comedy,Vivica A. Fox,Lin Shaye,Bob Gunton
the importance of being earnest ,Oliver Parker,Comedy Drama Romance,Colin Firth,Tom Wilkinson,Rupert Everett
the love letter ,Dan Curtis,Fantasy Romance,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons
hoot ,Wil Shriner,Adventure Comedy Family,Logan Lerman,Neil Flynn,Tim Blake Nelson
in bruges ,Martin McDonagh,Comedy Crime Drama,Elizabeth Berrington,Anna Madeley,Eric Godon
peeples ,Tina Gordon Chism,Comedy Romance,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll
the rocker ,Peter Cattaneo,Comedy Music,Emma Stone,Bradley Cooper,Josh Gad
post grad ,Vicky Jenson,Comedy Romance,J.K. Simmons,Zach Gilford,Bobby Coleman
promised land ,Gus Van Sant,Drama,Matt Damon,Hal Holbrook,Terry Kinney
whatever works ,Woody Allen,Comedy Romance,Larry David,Michael McKean,Conleth Hill
the in crowd ,Mary Lambert,Drama Mystery Thriller,Matthew Settle,Susan Ward,A.J. Buckley
three burials ,Tommy Lee Jones,Adventure Crime Drama Mystery Western,Levon Helm,Dwight Yoakam,Guillermo Arriaga
jakob the liar ,Peter Kassovitz,Drama War,Robin Williams,Mark Margolis,Michael Jeter
kiss kiss bang bang ,Shane Black,Comedy Crime Mystery,Robert Downey Jr.,Corbin Bernsen,Larry Miller
idle hands ,Rodman Flender,Comedy Fantasy Horror Thriller,Vivica A. Fox,Fred Willard,Elden Henson
mulholland drive ,David Lynch,Drama Mystery Thriller,Naomi Watts,Robert Forster,Laura Harring
blood and chocolate ,Katja von Garnier,Drama Fantasy Horror Romance,Olivier Martinez,Agnes Bruckner,Chris Geere
you will meet a tall dark stranger ,Woody Allen,Comedy Drama Romance,Anthony Hopkins,Naomi Watts,Ewen Bremner
never let me go ,Mark Romanek,Drama Romance Sci-Fi,Andrew Garfield,Charlie Rowe,Charlotte Rampling
transsiberian ,Brad Anderson,Crime Drama Mystery Thriller,Thomas Kretschmann,Eduardo Noriega,Mac McDonald
the clan of the cave bear ,Michael Chapman,Adventure Drama Fantasy,Curtis Armstrong,Pamela Reed,Mike Muscat
crazy in alabama ,Antonio Banderas,Comedy Crime Drama,Meat Loaf,Elizabeth Perkins,Noah Emmerich
funny games ,Michael Haneke,Crime Drama Horror Thriller,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet
listening ,Khalil Sullins,Drama Sci-Fi Thriller,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger
felicia's journey ,Atom Egoyan,Drama Thriller,Bob Hoskins,Elaine Cassidy,Gerard McSorley
metropolis ,Fritz Lang,Drama Sci-Fi,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge
district b13 ,Pierre Morel,Action Crime Thriller,David Belle,Cyril Raffaelli,Dany Verissimo-Petit
things to do in denver when you're dead ,Gary Fleder,Crime Drama,Steve Buscemi,Bill Cobbs,Treat Williams
the assassin ,Hsiao-Hsien Hou,Action Drama,Qi Shu,Chen Chang,Satoshi Tsumabuki
buffalo soldiers ,Gregor Jordan,Comedy Crime Drama Thriller War,Dean Stockwell,Scott Glenn,Leon
the return ,Andrey Zvyagintsev,Drama Mystery Thriller,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina
ong-bak 2 ,Tony Jaa,Action,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang
centurion ,Neil Marshall,Action Adventure Drama History Thriller War,Michael Fassbender,JJ Feild,Dave Legeno
silent trigger ,Russell Mulcahy,Action Drama Thriller,Christopher Heyerdahl,Gina Bellman,Conrad Dunn
the midnight meat train ,Ryûhei Kitamura,Fantasy Horror Mystery,Bradley Cooper,Brooke Shields,Leslie Bibb
winnie mandela ,Darrell Roodt,Biography Drama History,Jennifer Hudson,Wendy Crewson,Aubrey Poo
the son of no one ,Dito Montiel,Crime Drama Thriller,Channing Tatum,Al Pacino,Tracy Morgan
all the queen's men ,Stefan Ruzowitzky,Action Comedy Drama War,Eddie Izzard,Udo Kier,Edward Fox
the good night ,Jake Paltrow,Comedy Drama Fantasy Music Romance,Stephen Graham,Gael Le Cornec,Keith Allen
bathory: countess of blood ,Juraj Jakubisko,Biography Drama Fantasy History,Anna Friel,Hans Matheson,Franco Nero
khumba ,Anthony Silverston,Adventure Animation Family,Liam Neeson,Steve Buscemi,Loretta Devine
automata ,Gabe Ibáñez,Action Sci-Fi Thriller,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith
