,Unnamed: 0,Unnamed: 0.1,title,director,genres,actor1,actor2,actor3,combined_text
2817,2817,2817,"paris, je t'aime",Olivier Assayas,Comedy Drama Romance,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Olivier Assayas Steve Buscemi Miranda Richardson Catalina Sandino Moreno Comedy Drama Romance
2818,2818,2818,resurrecting the champ,Rod Lurie,Drama Sport,Harry Lennix,Kathryn Morris,Peter Coyote,Rod Lurie Harry Lennix Kathryn Morris Peter Coyote Drama Sport
2819,2819,2819,admission,Paul Weitz,Comedy Drama Romance,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Paul Weitz Tina Fey Sarita Choudhury Christopher Evan Welch Comedy Drama Romance
2820,2820,2820,the widow of saint-pierre,Patrice Leconte,Drama Romance,Emir Kusturica,Daniel Auteuil,Yves Jacques,Patrice Leconte Emir Kusturica Daniel Auteuil Yves Jacques Drama Romance
2821,2821,2821,chloe,Atom Egoyan,Drama Mystery Romance Thriller,Liam Neeson,Meghan Heffern,Natalie Lisinska,Atom Egoyan Liam Neeson Meghan Heffern Natalie Lisinska Drama Mystery Romance Thriller
2822,2822,2822,faithful,Paul Mazursky,Comedy Crime Drama,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Paul Mazursky Chazz Palminteri Ryan O'Neal Paul Mazursky Comedy Crime Drama
2823,2823,2823,brothers,Jim Sheridan,Drama Thriller,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Jim Sheridan Natalie Portman Jake Gyllenhaal Ethan Suplee Drama Thriller
2824,2824,2824,find me guilty,Sidney Lumet,Biography Comedy Crime Drama,Peter Dinklage,Vin Diesel,Alex Rocco,Sidney Lumet Peter Dinklage Vin Diesel Alex Rocco Biography Comedy Crime Drama
2825,2825,2825,the perks of being a wallflower,Stephen Chbosky,Drama Romance,Logan Lerman,Ezra Miller,Kate Walsh,Stephen Chbosky Logan Lerman Ezra Miller Kate Walsh Drama Romance
2826,2826,2826,excessive force,Jon Hess,Action,Burt Young,Ian Gomez,Thomas Ian Griffith,Jon Hess Burt Young Ian Gomez Thomas Ian Griffith Action
2827,2827,2827,infamous,Douglas McGrath,Biography Crime Drama,Toby Jones,Isabella Rossellini,Hope Davis,Douglas McGrath Toby Jones Isabella Rossellini Hope Davis Biography Crime Drama
2828,2828,2828,the claim,Michael Winterbottom,Drama Romance Western,Milla Jovovich,Sarah Polley,Shirley Henderson,Michael Winterbottom Milla Jovovich Sarah Polley Shirley Henderson Drama Romance Western
2829,2829,2829,the vatican tapes,Mark Neveldine,Horror Thriller,Djimon Hounsou,Alison Lohman,Dougray Scott,Mark Neveldine Djimon Hounsou Alison Lohman Dougray Scott Horror Thriller
2830,2830,2830,attack the block,Joe Cornish,Action Comedy Sci-Fi Thriller,John Boyega,Luke Treadaway,Jodie Whittaker,Joe Cornish John Boyega Luke Treadaway Jodie Whittaker Action Comedy Sci-Fi Thriller
2831,2831,2831,in the land of blood and honey,Angelina Jolie Pitt,Drama Romance War,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Angelina Jolie Pitt Jelena Jovanova Nikola Djuricko Branko Djuric Drama Romance War
2832,2832,2832,the call,Brad Anderson,Crime Thriller,Michael Imperioli,Tara Platt,Roma Maffia,Brad Anderson Michael Imperioli Tara Platt Roma Maffia Crime Thriller
2833,2833,2833,operation chromite,John H. Lee,Action Drama History War,Liam Neeson,Dean Dawson,Jung-jae Lee,John H. Lee Liam Neeson Dean Dawson Jung-jae Lee Action Drama History War
2834,2834,2834,the crocodile hunter: collision course,John Stainton,Action Adventure Comedy Family,Steve Irwin,Aden Young,Steve Bastoni,John Stainton Steve Irwin Aden Young Steve Bastoni Action Adventure Comedy Family
2835,2835,2835,i love you phillip morris,Glenn Ficarra,Biography Comedy Crime Drama Romance,Dameon Clarke,Louis Herthum,Annie Golden,Glenn Ficarra Dameon Clarke Louis Herthum Annie Golden Biography Comedy Crime Drama Romance
2836,2836,2836,quest for fire,Jean-Jacques Annaud,Adventure Drama History,Rae Dawn Chong,Everett McGill,Gary Schwartz,Jean-Jacques Annaud Rae Dawn Chong Everett McGill Gary Schwartz Adventure Drama History
2837,2837,2837,antwone fisher,Denzel Washington,Biography Drama,Denzel Washington,Kevin Connolly,Derek Luke,Denzel Washington Denzel Washington Kevin Connolly Derek Luke Biography Drama
2838,2838,2838,the emperor's club,Michael Hoffman,Drama,Gabriel Millman,Embeth Davidtz,Rob Morrow,Michael Hoffman Gabriel Millman Embeth Davidtz Rob Morrow Drama
2839,2839,2839,true romance,Tony Scott,Action Crime Drama Romance Thriller,Brad Pitt,Gary Oldman,Michael Rapaport,Tony Scott Brad Pitt Gary Oldman Michael Rapaport Action Crime Drama Romance Thriller
2840,2840,2840,womb,Benedek Fliegauf,Drama Romance Sci-Fi,Eva Green,Matt Smith,Hannah Murray,Benedek Fliegauf Eva Green Matt Smith Hannah Murray Drama Romance Sci-Fi
2841,2841,2841,glengarry glen ross,James Foley,Crime Drama Mystery,Kevin Spacey,Al Pacino,Jude Ciccolella,James Foley Kevin Spacey Al Pacino Jude Ciccolella Crime Drama Mystery
2842,2842,2842,the killer inside me,Michael Winterbottom,Crime Drama Thriller,Liam Aiken,Ned Beatty,Jay R. Ferguson,Michael Winterbottom Liam Aiken Ned Beatty Jay R. Ferguson Crime Drama Thriller
2843,2843,2843,cat people,Paul Schrader,Fantasy Horror Thriller,Ed Begley Jr.,Ruby Dee,John Heard,Paul Schrader Ed Begley Jr. Ruby Dee John Heard Fantasy Horror Thriller
2844,2844,2844,sorority row,Stewart Hendler,Horror Mystery,Julian Morris,Margo Harshman,Rumer Willis,Stewart Hendler Julian Morris Margo Harshman Rumer Willis Horror Mystery
2845,2845,2845,the prisoner of zenda,John Cromwell,Adventure Drama Romance,David Niven,Mary Astor,Ronald Colman,John Cromwell David Niven Mary Astor Ronald Colman Adventure Drama Romance
2846,2846,2846,lars and the real girl,Craig Gillespie,Comedy Drama Romance,Ryan Gosling,Kelli Garner,Paul Schneider,Craig Gillespie Ryan Gosling Kelli Garner Paul Schneider Comedy Drama Romance
2847,2847,2847,the boy in the striped pajamas,Mark Herman,Drama War,Richard Johnson,Sheila Hancock,Cara Horgan,Mark Herman Richard Johnson Sheila Hancock Cara Horgan Drama War
2848,2848,2848,dancer in the dark,Lars von Trier,Crime Drama Musical,Catherine Deneuve,Udo Kier,Björk,Lars von Trier Catherine Deneuve Udo Kier Björk Crime Drama Musical
2849,2849,2849,oscar and lucinda,Gillian Armstrong,Drama Romance,Tom Wilkinson,Richard Roxburgh,Clive Russell,Gillian Armstrong Tom Wilkinson Richard Roxburgh Clive Russell Drama Romance
2850,2850,2850,the funeral,Abel Ferrara,Crime Drama,Isabella Rossellini,Vincent Gallo,Gretchen Mol,Abel Ferrara Isabella Rossellini Vincent Gallo Gretchen Mol Crime Drama
2851,2851,2851,solitary man,Brian Koppelman,Comedy Drama Romance,Jenna Fischer,David Costabile,Richard Schiff,Brian Koppelman Jenna Fischer David Costabile Richard Schiff Comedy Drama Romance
2852,2852,2852,machete,Ethan Maniquis,Action Crime Thriller,Robert De Niro,Don Johnson,Cheech Marin,Ethan Maniquis Robert De Niro Don Johnson Cheech Marin Action Crime Thriller
2853,2853,2853,casino jack,George Hickenlooper,Biography Comedy Crime Drama,Kevin Spacey,Eric Schweig,Christian Campbell,George Hickenlooper Kevin Spacey Eric Schweig Christian Campbell Biography Comedy Crime Drama
2854,2854,2854,the land before time,Don Bluth,Adventure Animation Family,Judith Barsi,Gabriel Damon,Bill Erwin,Don Bluth Judith Barsi Gabriel Damon Bill Erwin Adventure Animation Family
2855,2855,2855,tae guk gi: the brotherhood of war,Je-kyu Kang,Action Drama War,Min-sik Choi,Bin Won,Dong-gun Jang,Je-kyu Kang Min-sik Choi Bin Won Dong-gun Jang Action Drama War
2856,2856,2856,the perfect game,William Dear,Comedy Drama Family Sport,Clifton Collins Jr.,Cheech Marin,Bruce McGill,William Dear Clifton Collins Jr. Cheech Marin Bruce McGill Comedy Drama Family Sport
2857,2857,2857,the exorcist,William Friedkin,Horror,Ellen Burstyn,Linda Blair,Lee J. Cobb,William Friedkin Ellen Burstyn Linda Blair Lee J. Cobb Horror
2858,2858,2858,jaws,Steven Spielberg,Adventure Drama Thriller,Roy Scheider,Robert Shaw,Murray Hamilton,Steven Spielberg Roy Scheider Robert Shaw Murray Hamilton Adventure Drama Thriller
2859,2859,2859,american pie,Paul Weitz,Comedy,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Paul Weitz Alyson Hannigan Shannon Elizabeth Natasha Lyonne Comedy
2860,2860,2860,ernest & celestine,Stéphane Aubier,Animation Comedy Crime Drama Family,Mackenzie Foy,Megan Mullally,Lambert Wilson,Stéphane Aubier Mackenzie Foy Megan Mullally Lambert Wilson Animation Comedy Crime Drama Family
2861,2861,2861,the golden child,Michael Ritchie,Action Adventure Comedy Fantasy Mystery,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Michael Ritchie Victor Wong Randall 'Tex' Cobb Charlotte Lewis Action Adventure Comedy Fantasy Mystery
2862,2862,2862,think like a man,Tim Story,Comedy Romance,Chris Brown,Romany Malco,Regina Hall,Tim Story Chris Brown Romany Malco Regina Hall Comedy Romance
2863,2863,2863,barbershop,Tim Story,Comedy Drama,Sean Patrick Thomas,Jason George,Cedric the Entertainer,Tim Story Sean Patrick Thomas Jason George Cedric the Entertainer Comedy Drama
2864,2864,2864,star trek ii: the wrath of khan,Nicholas Meyer,Action Adventure Sci-Fi,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Nicholas Meyer Leonard Nimoy Kirstie Alley Nichelle Nichols Action Adventure Sci-Fi
2865,2865,2865,ace ventura: pet detective,Tom Shadyac,Comedy,Sean Young,Udo Kier,David Margulies,Tom Shadyac Sean Young Udo Kier David Margulies Comedy
2866,2866,2866,wargames,John Badham,Sci-Fi Thriller,Matthew Broderick,Barry Corbin,Ally Sheedy,John Badham Matthew Broderick Barry Corbin Ally Sheedy Sci-Fi Thriller
2867,2867,2867,witness,Peter Weir,Crime Drama Romance Thriller,Harrison Ford,Viggo Mortensen,Lukas Haas,Peter Weir Harrison Ford Viggo Mortensen Lukas Haas Crime Drama Romance Thriller
2868,2868,2868,act of valor,Mike McCoy,Action Adventure Drama Thriller War,Alex Veadov,Jason Cottle,Rorke Denver,Mike McCoy Alex Veadov Jason Cottle Rorke Denver Action Adventure Drama Thriller War
2869,2869,2869,step up,Anne Fletcher,Crime Drama Music Romance,Channing Tatum,Alyson Stoner,Josh Henderson,Anne Fletcher Channing Tatum Alyson Stoner Josh Henderson Crime Drama Music Romance
2870,2870,2870,beavis and butt-head do america,Mike Judge,Adventure Animation Comedy Crime,Bruce Willis,Demi Moore,John Doman,Mike Judge Bruce Willis Demi Moore John Doman Adventure Animation Comedy Crime
2871,2871,2871,jackie brown,Quentin Tarantino,Crime Thriller,Robert De Niro,Sid Haig,Robert Forster,Quentin Tarantino Robert De Niro Sid Haig Robert Forster Crime Thriller
2872,2872,2872,harold & kumar escape from guantanamo bay,Jon Hurwitz,Adventure Comedy,Danneel Ackles,Eric Winter,Beverly D'Angelo,Jon Hurwitz Danneel Ackles Eric Winter Beverly D'Angelo Adventure Comedy
2873,2873,2873,chronicle,Josh Trank,Drama Sci-Fi Thriller,Michael Kelly,Alex Russell,Ashley Hinshaw,Josh Trank Michael Kelly Alex Russell Ashley Hinshaw Drama Sci-Fi Thriller
2874,2874,2874,yentl,Barbra Streisand,Drama Musical Romance,Miriam Margolyes,Amy Irving,Steven Hill,Barbra Streisand Miriam Margolyes Amy Irving Steven Hill Drama Musical Romance
2875,2875,2875,time bandits,Terry Gilliam,Adventure Comedy Fantasy Sci-Fi,Shelley Duvall,Michael Palin,Kenny Baker,Terry Gilliam Shelley Duvall Michael Palin Kenny Baker Adventure Comedy Fantasy Sci-Fi
2876,2876,2876,crossroads,Tamra Davis,Comedy Drama,Britney Spears,Katherine Boecher,Dave Allen,Tamra Davis Britney Spears Katherine Boecher Dave Allen Comedy Drama
2877,2877,2877,project x,Nima Nourizadeh,Comedy Crime,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,Nima Nourizadeh Dax Flame Kirby Bliss Blanton Oliver Cooper Comedy Crime
2878,2878,2878,patton,Franklin J. Schaffner,Biography Drama War,George C. Scott,Karl Malden,Bill Hickman,Franklin J. Schaffner George C. Scott Karl Malden Bill Hickman Biography Drama War
2879,2879,2879,one hour photo,Mark Romanek,Drama Thriller,Robin Williams,Gary Cole,Connie Nielsen,Mark Romanek Robin Williams Gary Cole Connie Nielsen Drama Thriller
2880,2880,2880,quarantine,John Erick Dowdle,Horror Sci-Fi Thriller,Andrew Fiscella,Jay Hernandez,Dania Ramirez,John Erick Dowdle Andrew Fiscella Jay Hernandez Dania Ramirez Horror Sci-Fi Thriller
2881,2881,2881,the eye,David Moreau,Horror Mystery,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,David Moreau Chloë Grace Moretz Alessandro Nivola Obba Babatundé Horror Mystery
2882,2882,2882,johnson family vacation,Christopher Erskin,Comedy,Vanessa Williams,Shannon Elizabeth,Shad Moss,Christopher Erskin Vanessa Williams Shannon Elizabeth Shad Moss Comedy
2883,2883,2883,how high,Jesse Dylan,Comedy Fantasy,Hector Elizondo,Fred Willard,T.J. Thyne,Jesse Dylan Hector Elizondo Fred Willard T.J. Thyne Comedy Fantasy
2884,2884,2884,the muppet christmas carol,Brian Henson,Comedy Drama Family Fantasy Musical,Steven Mackintosh,Jerry Nelson,Steve Whitmire,Brian Henson Steven Mackintosh Jerry Nelson Steve Whitmire Comedy Drama Family Fantasy Musical
2885,2885,2885,casino royale,Martin Campbell,Action Adventure Thriller,Eva Green,Tobias Menzies,Ivana Milicevic,Martin Campbell Eva Green Tobias Menzies Ivana Milicevic Action Adventure Thriller
2886,2886,2886,frida,Julie Taymor,Biography Drama Romance,Salma Hayek,Roger Rees,Valeria Golino,Julie Taymor Salma Hayek Roger Rees Valeria Golino Biography Drama Romance
2887,2887,2887,katy perry: part of me,Dan Cutforth,Documentary Music,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Dan Cutforth Lexie Contursi Ashley Ashida Dixon Anthony Burrell Documentary Music
2888,2888,2888,the fault in our stars,Josh Boone,Drama Romance,Shailene Woodley,Sam Trammell,Nat Wolff,Josh Boone Shailene Woodley Sam Trammell Nat Wolff Drama Romance
2889,2889,2889,rounders,John Dahl,Crime Drama,Matt Damon,Martin Landau,Gretchen Mol,John Dahl Matt Damon Martin Landau Gretchen Mol Crime Drama
2890,2890,2890,top five,Chris Rock,Comedy Romance,Rosario Dawson,Romany Malco,J.B. Smoove,Chris Rock Rosario Dawson Romany Malco J.B. Smoove Comedy Romance
2891,2891,2891,prophecy,John Frankenheimer,Horror Sci-Fi,Talia Shire,Richard Dysart,Robert Foxworth,John Frankenheimer Talia Shire Richard Dysart Robert Foxworth Horror Sci-Fi
2892,2892,2892,stir of echoes,David Koepp,Horror Mystery Thriller,Illeana Douglas,Kathryn Erbe,Lusia Strus,David Koepp Illeana Douglas Kathryn Erbe Lusia Strus Horror Mystery Thriller
2893,2893,2893,philomena,Stephen Frears,Biography Drama,Steve Coogan,Mare Winningham,Peter Hermann,Stephen Frears Steve Coogan Mare Winningham Peter Hermann Biography Drama
2894,2894,2894,the upside of anger,Mike Binder,Comedy Drama,Alicia Witt,Erika Christensen,Joan Allen,Mike Binder Alicia Witt Erika Christensen Joan Allen Comedy Drama
2895,2895,2895,the boys from brazil,Franklin J. Schaffner,Drama Thriller,Laurence Olivier,Anne Meara,Steve Guttenberg,Franklin J. Schaffner Laurence Olivier Anne Meara Steve Guttenberg Drama Thriller
2896,2896,2896,aquamarine,Elizabeth Allen Rosenbaum,Comedy Family Fantasy Romance,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Elizabeth Allen Rosenbaum Tammin Sursok Joanna 'JoJo' Levesque Dichen Lachman Comedy Family Fantasy Romance
2897,2897,2897,paper towns,Jake Schreier,Drama Mystery Romance,Nat Wolff,Cara Delevingne,Meg Crosbie,Jake Schreier Nat Wolff Cara Delevingne Meg Crosbie Drama Mystery Romance
2898,2898,2898,my baby's daddy,Cheryl Dunye,Comedy,Michael Imperioli,Marsha Thomason,Bai Ling,Cheryl Dunye Michael Imperioli Marsha Thomason Bai Ling Comedy
2899,2899,2899,nebraska,Alexander Payne,Adventure Comedy Drama,Devin Ratray,Bruce Dern,Will Forte,Alexander Payne Devin Ratray Bruce Dern Will Forte Adventure Comedy Drama
2900,2900,2900,tales from the crypt: demon knight,Ernest R. Dickerson,Action Fantasy Horror Thriller,CCH Pounder,Jada Pinkett Smith,Gary Farmer,Ernest R. Dickerson CCH Pounder Jada Pinkett Smith Gary Farmer Action Fantasy Horror Thriller
2901,2901,2901,max keeble's big move,Tim Hill,Comedy Crime Family,Noel Fisher,Amber Valletta,Larry Miller,Tim Hill Noel Fisher Amber Valletta Larry Miller Comedy Crime Family
2902,2902,2902,young adult,Jason Reitman,Comedy Drama,Charlize Theron,Patton Oswalt,Collette Wolfe,Jason Reitman Charlize Theron Patton Oswalt Collette Wolfe Comedy Drama
2903,2903,2903,crank,Mark Neveldine,Action Crime Thriller,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Mark Neveldine Jason Statham Edi Gathegi Jose Pablo Cantillo Action Crime Thriller
2904,2904,2904,how to be a player,Lionel C. Martin,Comedy,Bernie Mac,Gilbert Gottfried,Lark Voorhies,Lionel C. Martin Bernie Mac Gilbert Gottfried Lark Voorhies Comedy
2905,2905,2905,living out loud,Richard LaGravenese,Comedy Drama Romance,Holly Hunter,Eddie Cibrian,Jenette Goldstein,Richard LaGravenese Holly Hunter Eddie Cibrian Jenette Goldstein Comedy Drama Romance
2906,2906,2906,just wright,Sanaa Hamri,Comedy Romance Sport,Common,Laz Alonso,Mehcad Brooks,Sanaa Hamri Common Laz Alonso Mehcad Brooks Comedy Romance Sport
2907,2907,2907,rachel getting married,Jonathan Demme,Drama Romance,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Jonathan Demme Anne Hathaway Rosemarie DeWitt Bill Irwin Drama Romance
2908,2908,2908,the postman always rings twice,Bob Rafelson,Crime Drama Romance Thriller,Anjelica Huston,Michael Lerner,John Colicos,Bob Rafelson Anjelica Huston Michael Lerner John Colicos Crime Drama Romance Thriller
2909,2909,2909,girl with a pearl earring,Peter Webber,Biography Drama Romance,Scarlett Johansson,Colin Firth,Tom Wilkinson,Peter Webber Scarlett Johansson Colin Firth Tom Wilkinson Biography Drama Romance
2910,2910,2910,das boot,Wolfgang Petersen,Adventure Drama Thriller War,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,Wolfgang Petersen Jürgen Prochnow Martin Semmelrogge Herbert Grönemeyer Adventure Drama Thriller War
2911,2911,2911,the alamo,John Lee Hancock,Drama History War Western,Dennis Quaid,Marc Blucas,Jordi Mollà,John Lee Hancock Dennis Quaid Marc Blucas Jordi Mollà Drama History War Western
2912,2912,2912,sorority boys,Wallace Wolodarsky,Comedy,Heather Matarazzo,Barry Watson,Harland Williams,Wallace Wolodarsky Heather Matarazzo Barry Watson Harland Williams Comedy
2913,2913,2913,about time,Richard Curtis,Drama Fantasy Romance,Tom Hughes,Tom Hollander,Lindsay Duncan,Richard Curtis Tom Hughes Tom Hollander Lindsay Duncan Drama Fantasy Romance
2914,2914,2914,house of flying daggers,Yimou Zhang,Action Adventure Drama Romance,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Yimou Zhang Takeshi Kaneshiro Andy Lau Zhengyong Zhang Action Adventure Drama Romance
2915,2915,2915,arbitrage,Nicholas Jarecki,Drama Thriller,Nate Parker,Curtiss Cook,Reg E. Cathey,Nicholas Jarecki Nate Parker Curtiss Cook Reg E. Cathey Drama Thriller
2916,2916,2916,project almanac,Dean Israelite,Sci-Fi Thriller,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,Dean Israelite Gary Weeks Jonny Weston Sofia Black-D'Elia Sci-Fi Thriller
2917,2917,2917,cadillac records,Darnell Martin,Biography Drama Music,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,Darnell Martin Cedric the Entertainer Veronika Dash Tammy Blanchard Biography Drama Music
2918,2918,2918,screwed,Scott Alexander,Comedy Crime,Sarah Silverman,Dave Chappelle,Sherman Hemsley,Scott Alexander Sarah Silverman Dave Chappelle Sherman Hemsley Comedy Crime
2919,2919,2919,fortress,Stuart Gordon,Action Crime Sci-Fi Thriller,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,Stuart Gordon Christopher Lambert Kurtwood Smith Clifton Collins Jr. Action Crime Sci-Fi Thriller
2920,2920,2920,for your consideration,Christopher Guest,Comedy,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,Christopher Guest John Michael Higgins Catherine O'Hara Ed Begley Jr. Comedy
2921,2921,2921,celebrity,Woody Allen,Comedy Drama,Melanie Griffith,Aleksa Palladino,Greg Mottola,Woody Allen Melanie Griffith Aleksa Palladino Greg Mottola Comedy Drama
2922,2922,2922,running with scissors,Ryan Murphy,Comedy Drama,Jill Clayburgh,Joseph Cross,Dagmara Dominczyk,Ryan Murphy Jill Clayburgh Joseph Cross Dagmara Dominczyk Comedy Drama
2923,2923,2923,from justin to kelly,Robert Iscove,Comedy Musical Romance,Anika Noni Rose,Kelly Clarkson,Brian Dietzen,Robert Iscove Anika Noni Rose Kelly Clarkson Brian Dietzen Comedy Musical Romance
2924,2924,2924,girl 6,Spike Lee,Comedy Drama,Michael Imperioli,Debi Mazar,Gretchen Mol,Spike Lee Michael Imperioli Debi Mazar Gretchen Mol Comedy Drama
2925,2925,2925,in the cut,Jane Campion,Mystery Thriller,Jennifer Jason Leigh,Nick Damici,Susan Gardner,Jane Campion Jennifer Jason Leigh Nick Damici Susan Gardner Mystery Thriller
2926,2926,2926,two lovers,James Gray,Drama Romance,Isabella Rossellini,Vinessa Shaw,Samantha Ivers,James Gray Isabella Rossellini Vinessa Shaw Samantha Ivers Drama Romance
2927,2927,2927,last orders,Fred Schepisi,Drama,Bob Hoskins,Ray Winstone,JJ Feild,Fred Schepisi Bob Hoskins Ray Winstone JJ Feild Drama
2928,2928,2928,the host,Joon-ho Bong,Comedy Drama Horror Sci-Fi,Doona Bae,Kang-ho Song,Ah-sung Ko,Joon-ho Bong Doona Bae Kang-ho Song Ah-sung Ko Comedy Drama Horror Sci-Fi
2929,2929,2929,the pursuit of d.b. cooper,Roger Spottiswoode,Adventure Crime Thriller,Robert Duvall,Treat Williams,Paul Gleason,Roger Spottiswoode Robert Duvall Treat Williams Paul Gleason Adventure Crime Thriller
2930,2930,2930,ravenous,Antonia Bird,Fantasy Horror Thriller,Jeremy Davies,Jeffrey Jones,David Arquette,Antonia Bird Jeremy Davies Jeffrey Jones David Arquette Fantasy Horror Thriller
2931,2931,2931,charlie bartlett,Jon Poll,Comedy Drama Romance,Robert Downey Jr.,Megan Park,Hope Davis,Jon Poll Robert Downey Jr. Megan Park Hope Davis Comedy Drama Romance
2932,2932,2932,the great beauty,Paolo Sorrentino,Drama,Toni Servillo,Sabrina Ferilli,Serena Grandi,Paolo Sorrentino Toni Servillo Sabrina Ferilli Serena Grandi Drama
2933,2933,2933,the dangerous lives of altar boys,Peter Care,Comedy Drama,Kieran Culkin,Michael Harding,Jake Richardson,Peter Care Kieran Culkin Michael Harding Jake Richardson Comedy Drama
2934,2934,2934,stoker,Chan-wook Park,Drama Thriller,Mia Wasikowska,Alden Ehrenreich,Harmony Korine,Chan-wook Park Mia Wasikowska Alden Ehrenreich Harmony Korine Drama Thriller
2935,2935,2935,2046,Kar-Wai Wong,Drama Romance Sci-Fi,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,Kar-Wai Wong Li Gong Tony Chiu Wai Leung Maggie Cheung Drama Romance Sci-Fi
2936,2936,2936,married life,Ira Sachs,Crime Drama Romance,David Richmond-Peck,Erin Boyes,Timothy Webber,Ira Sachs David Richmond-Peck Erin Boyes Timothy Webber Crime Drama Romance
2937,2937,2937,duma,Carroll Ballard,Adventure Drama Family,Eamonn Walker,Hope Davis,Campbell Scott,Carroll Ballard Eamonn Walker Hope Davis Campbell Scott Adventure Drama Family
2938,2938,2938,ondine,Neil Jordan,Drama Mystery Romance,Tony Curran,Stephen Rea,Alicja Bachleda,Neil Jordan Tony Curran Stephen Rea Alicja Bachleda Drama Mystery Romance
2939,2939,2939,brother,Takeshi Kitano,Crime Drama Thriller,Omar Epps,Tatyana Ali,James Shigeta,Takeshi Kitano Omar Epps Tatyana Ali James Shigeta Crime Drama Thriller
2940,2940,2940,welcome to collinwood,Anthony Russo,Comedy Crime,Michael Jeter,Isaiah Washington,Andy Davoli,Anthony Russo Michael Jeter Isaiah Washington Andy Davoli Comedy Crime
2941,2941,2941,critical care,Sidney Lumet,Comedy Drama,Kyra Sedgwick,Anne Bancroft,Albert Brooks,Sidney Lumet Kyra Sedgwick Anne Bancroft Albert Brooks Comedy Drama
2942,2942,2942,the life before her eyes,Vadim Perelman,Drama Mystery Thriller,Eva Amurri Martino,Lynn Cohen,Brett Cullen,Vadim Perelman Eva Amurri Martino Lynn Cohen Brett Cullen Drama Mystery Thriller
2943,2943,2943,darling companion,Lawrence Kasdan,Comedy Drama Romance,Dianne Wiest,Mark Duplass,Sam Shepard,Lawrence Kasdan Dianne Wiest Mark Duplass Sam Shepard Comedy Drama Romance
2944,2944,2944,trade,Marco Kreuzpaintner,Crime Drama Thriller,Zack Ward,Kate del Castillo,Alicja Bachleda,Marco Kreuzpaintner Zack Ward Kate del Castillo Alicja Bachleda Crime Drama Thriller
2945,2945,2945,fateless,Lajos Koltai,Drama Romance War,Marcell Nagy,Péter Fancsikai,Bálint Péntek,Lajos Koltai Marcell Nagy Péter Fancsikai Bálint Péntek Drama Romance War
2946,2946,2946,breakfast of champions,Alan Rudolph,Comedy,Bruce Willis,Albert Finney,Omar Epps,Alan Rudolph Bruce Willis Albert Finney Omar Epps Comedy
2947,2947,2947,"a woman, a gun and a noodle shop",Yimou Zhang,Comedy Drama,Honglei Sun,Ni Yan,Dahong Ni,Yimou Zhang Honglei Sun Ni Yan Dahong Ni Comedy Drama
2948,2948,2948,cypher,Vincenzo Natali,Mystery Romance Sci-Fi Thriller,David Hewlett,Jeremy Northam,Kari Matchett,Vincenzo Natali David Hewlett Jeremy Northam Kari Matchett Mystery Romance Sci-Fi Thriller
2949,2949,2949,city of life and death,Chuan Lu,Drama History War,Ye Liu,Yuanyuan Gao,Ryu Kohata,Chuan Lu Ye Liu Yuanyuan Gao Ryu Kohata Drama History War
2950,2950,2950,home,Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,Matt Jones,April Winchell,Tim Johnson Jim Parsons Matt Jones April Winchell Adventure Animation Comedy Family Fantasy Sci-Fi
2951,2951,2951,legend of kung fu rabbit,Lijun Sun,Action Adventure Animation Comedy Family,Jon Heder,Tom Arnold,Rebecca Black,Lijun Sun Jon Heder Tom Arnold Rebecca Black Action Adventure Animation Comedy Family
2952,2952,2952,space battleship yamato,Takashi Yamazaki,Action Adventure Drama Sci-Fi,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Takashi Yamazaki Takuya Kimura Meisa Kuroki Hiroyuki Ikeuchi Action Adventure Drama Sci-Fi
2953,2953,2953,5 days of war,Renny Harlin,Action Drama War,Richard Coyle,Kenneth Cranham,Ana Imnadze,Renny Harlin Richard Coyle Kenneth Cranham Ana Imnadze Action Drama War
